iter	Passed	Remaining
0	2	226
1	5	256
2	6	203
3	7	173
4	9	173
5	11	174
6	13	174
7	14	171
8	16	169
9	19	175
10	20	169
11	22	168
12	24	166
13	26	165
14	28	161
15	29	154
16	31	151
17	32	149
18	34	146
19	35	142
20	36	137
21	38	136
22	40	134
23	42	133
24	43	131
25	45	130
26	47	128
27	49	128
28	50	123
29	51	120
30	52	117
31	53	113
32	55	112
33	55	108
34	56	105
35	57	102
36	59	101
37	61	100
38	63	100
39	65	97
40	66	95
41	66	92
42	67	89
43	68	86
44	69	84
45	70	82
46	71	80
47	73	79
48	74	77
49	75	75
50	76	73
51	78	72
52	79	70
53	80	68
54	82	67
55	84	66
56	85	64
57	87	63
58	89	62
59	92	61
60	94	60
61	96	58
62	97	57
63	99	55
64	101	54
65	103	53
66	104	51
67	106	50
68	108	48
69	109	47
70	111	45
71	112	43
72	113	42
73	115	40
74	116	38
75	117	37
76	119	35
77	120	34
78	123	32
79	125	31
80	126	29
81	128	28
82	129	26
83	131	24
84	132	23
85	134	21
86	135	20
87	137	18
88	139	17
89	141	15
90	143	14
91	144	12
92	146	11
93	147	9
94	148	7
95	150	6
96	152	4
97	155	3
98	157	1
99	159	0
